Server ID,Sponsor,Server Name,Timestamp,Distance,Ping,Download,Upload,Share,IP Address
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T19:45:02.338796Z,6826.8,422.3,11.89,2.69,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T19:30:02.314259Z,6826.8,328.3,20.25,2.41,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T19:15:03.745116Z,6826.8,1238.1,22.19,2.74,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T19:00:04.782210Z,6826.8,1312.4,9.88,0.65,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T18:45:03.981921Z,6826.8,157.8,22.57,3.37,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T18:30:04.594531Z,6826.8,1281.9,8.49,1.41,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T18:15:03.590061Z,6826.8,672.0,16.35,3.29,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T18:00:01.511341Z,6826.8,148.8,22.82,6.22,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T17:45:04.586460Z,6826.8,162.1,22.59,2.88,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T17:30:03.926676Z,6826.8,150.9,20.37,3.24,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T17:15:04.950193Z,6826.8,1308.8,11.49,2.36,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T17:00:04.454464Z,6826.8,177.8,22.63,2.52,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T16:45:03.537679Z,6826.8,1070.9,12.70,3.40,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T16:30:04.245686Z,6826.8,1314.7,7.84,4.58,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T16:15:04.770896Z,6826.8,1399.6,2.83,3.30,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T16:00:05.570285Z,6826.8,272.8,6.58,2.88,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T15:45:04.530582Z,6826.8,1318.5,8.81,2.06,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T15:30:02.293509Z,6826.8,150.3,22.78,3.52,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T15:15:01.528421Z,6826.8,178.7,16.51,1.01,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T15:00:01.837831Z,6826.8,619.6,9.32,2.31,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T14:45:02.365626Z,6826.8,182.1,20.90,2.40,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T14:30:01.638749Z,6826.8,150.3,20.38,1.64,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T14:15:02.035032Z,6826.8,202.8,15.90,4.95,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T14:00:04.567848Z,6826.8,444.1,13.96,2.42,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T13:45:01.725461Z,6826.8,182.5,20.40,4.36,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T13:30:04.788933Z,6826.8,1426.7,9.70,3.24,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T13:15:04.653497Z,6826.8,155.2,22.02,3.66,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T13:00:04.860861Z,6826.8,1057.2,15.53,3.12,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T12:45:04.306600Z,6826.8,343.8,5.03,2.35,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T12:30:04.840959Z,6826.8,157.2,20.82,5.14,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T12:15:03.497355Z,6826.8,525.8,19.72,1.13,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T12:00:02.293789Z,6826.8,160.7,20.55,2.02,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T11:45:01.676588Z,6826.8,548.0,8.92,3.20,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T11:30:02.017867Z,6826.8,508.3,12.79,3.19,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T11:15:04.483747Z,6826.8,188.8,20.96,3.28,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T11:00:04.736112Z,6826.8,1349.3,9.10,1.36,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T10:45:03.939252Z,6826.8,1322.1,7.66,1.15,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T10:30:03.142933Z,6826.8,868.3,12.44,2.02,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T10:15:03.626350Z,6826.8,1441.5,12.40,2.92,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T10:00:03.670969Z,6826.8,174.3,10.70,3.25,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T09:45:05.182586Z,6826.8,1288.3,10.33,1.21,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T09:30:04.705678Z,6826.8,431.6,19.80,1.67,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T09:15:04.919449Z,6826.8,1373.9,11.46,2.27,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T09:00:03.287247Z,6826.8,1111.6,11.15,1.68,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T08:45:04.385431Z,6826.8,1313.5,14.22,4.06,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T08:30:04.578927Z,6826.8,1270.3,10.49,1.54,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T08:15:03.014116Z,6826.8,893.1,13.56,1.78,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T08:00:04.530843Z,6826.8,397.0,20.80,3.94,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T07:45:03.944763Z,6826.8,1335.2,9.23,2.24,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T07:30:01.798422Z,6826.8,194.1,13.14,2.39,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T07:15:01.935159Z,6826.8,156.4,21.97,5.22,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T07:00:04.068548Z,6826.8,154.7,21.90,3.73,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T06:45:04.119985Z,6826.8,1212.2,10.55,2.30,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T06:30:04.349120Z,6826.8,751.6,17.29,1.10,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T06:15:01.607715Z,6826.8,149.1,22.44,6.46,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T06:00:02.130978Z,6826.8,153.3,17.06,3.75,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T05:45:03.051730Z,6826.8,668.4,14.77,2.91,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T05:30:03.131983Z,6826.8,539.8,19.53,3.29,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T05:15:01.801706Z,6826.8,258.5,6.91,2.91,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T05:00:02.954491Z,6826.8,194.8,21.56,2.88,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T04:45:03.646201Z,6826.8,540.0,20.23,5.73,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T04:30:02.064327Z,6826.8,188.1,5.45,3.36,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T04:15:03.301743Z,6826.8,769.3,11.58,0.92,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T04:00:01.834504Z,6826.8,301.3,14.90,1.58,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T03:45:04.673416Z,6826.8,1359.8,7.67,3.09,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T03:30:02.381346Z,6826.8,270.3,17.19,3.75,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T03:15:05.078133Z,6826.8,1357.6,5.07,1.88,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T03:00:01.981355Z,6826.8,153.9,23.25,5.50,,my_source_IP
16708,PLUSNET COMMUNICATION,Rajkot,2018-08-22T02:45:02.257429Z,6826.8,589.3,3.24,2.77,,my_source_IP
